entry_time,exit_time,side,entry_price,exit_price,pnl,result,quantity,ev_per_trade
2020-01-02 10:15:00,2020-01-02 15:45:00,long,8827.75,8901.0,2924.0,win,2,2.5206896551724136
2020-01-03 10:00:00,2020-01-03 15:45:00,long,8817.0,8811.75,-216.0,loss,2,-0.18620689655172415
2020-01-06 10:00:00,2020-01-06 15:45:00,long,8831.75,8852.5,824.0,win,2,0.7103448275862069
2020-01-07 10:15:00,2020-01-07 15:45:00,long,8883.5,8844.25,-1576.0,loss,2,-1.3586206896551725
2020-01-08 10:00:00,2020-01-08 15:45:00,long,8882.0,8947.5,2614.0,win,2,2.253448275862069
2020-01-09 10:00:00,2020-01-09 15:45:00,long,9006.25,9008.5,84.0,win,2,0.07241379310344828
2020-01-10 10:00:00,2020-01-10 15:45:00,long,9038.5,8978.25,-2416.0,loss,2,-2.0827586206896553
2020-01-13 10:00:00,2020-01-13 15:45:00,long,9035.25,9090.25,2194.0,win,2,1.8913793103448275
2020-01-14 11:00:00,2020-01-14 15:45:00,long,9078.5,9063.0,-626.0,loss,2,-0.5396551724137931
2020-01-15 10:00:00,2020-01-15 15:45:00,long,9079.75,9062.0,-716.0,loss,2,-0.6172413793103448
2020-01-17 12:00:00,2020-01-17 15:45:00,long,9155.25,9171.75,654.0,win,2,0.5637931034482758
2020-01-20 10:30:00,2020-01-20 17:00:00,long,9173.75,9175.0,44.0,win,2,0.03793103448275862
2020-01-21 10:00:00,2020-01-21 15:45:00,long,9185.0,9174.75,-416.0,loss,2,-0.3586206896551724
2020-01-22 10:30:00,2020-01-22 15:45:00,long,9235.25,9188.0,-1896.0,loss,2,-1.6344827586206896
2020-01-23 10:30:00,2020-01-23 15:45:00,long,9189.25,9251.25,2474.0,win,2,2.132758620689655
2020-01-27 11:15:00,2020-01-27 15:45:00,long,8998.75,8960.25,-1546.0,loss,2,-1.3327586206896551
2020-01-28 10:00:00,2020-01-28 15:45:00,long,9070.75,9124.5,2144.0,win,2,1.8482758620689654
2020-01-29 11:00:00,2020-01-29 15:45:00,long,9133.0,9104.75,-1136.0,loss,2,-0.9793103448275862
2020-01-30 10:45:00,2020-01-30 15:45:00,long,9074.75,9237.5,6504.0,win,2,5.606896551724138
2020-02-03 10:00:00,2020-02-03 15:45:00,long,9131.5,9105.5,-1046.0,loss,2,-0.9017241379310345
2020-02-04 10:00:00,2020-02-04 15:45:00,long,9294.25,9360.25,2634.0,win,2,2.2706896551724136
2020-02-06 10:00:00,2020-02-06 15:45:00,long,9435.0,9464.0,1154.0,win,2,0.9948275862068966
2020-02-07 10:00:00,2020-02-07 15:45:00,long,9436.25,9400.5,-1436.0,loss,2,-1.2379310344827585
2020-02-10 10:00:00,2020-02-10 15:45:00,long,9458.25,9526.0,2704.0,win,2,2.331034482758621
2020-02-11 10:00:00,2020-02-11 15:45:00,long,9597.75,9532.75,-2606.0,loss,2,-2.246551724137931
2020-02-12 10:30:00,2020-02-12 15:45:00,long,9599.25,9623.5,964.0,win,2,0.8310344827586207
2020-02-13 10:00:00,2020-02-13 15:45:00,long,9608.0,9625.25,684.0,win,2,0.5896551724137931
2020-02-14 10:00:00,2020-02-14 15:45:00,long,9637.5,9630.25,-296.0,loss,2,-0.25517241379310346
2020-02-18 10:00:00,2020-02-18 15:45:00,long,9606.75,9640.25,1334.0,win,2,1.15
2020-02-19 10:00:00,2020-02-19 15:45:00,long,9731.25,9734.25,114.0,win,2,0.09827586206896552
2020-02-26 09:45:00,2020-02-26 15:45:00,long,9008.0,8821.0,-7486.0,loss,2,-6.453448275862069
2020-02-27 11:00:00,2020-02-27 14:45:00,long,8747.75,8474.585929587023,-10932.562816519072,loss,2,-9.424623117688855
2020-02-28 10:15:00,2020-02-28 15:45:00,long,8340.25,8548.0,8304.0,win,2,7.158620689655172
2020-03-02 10:00:00,2020-03-02 15:45:00,long,8636.25,8820.0,7344.0,win,2,6.3310344827586205
2020-03-04 09:30:00,2020-03-04 15:45:00,long,8760.25,8889.25,5154.0,win,2,4.4431034482758625
2020-03-05 10:00:00,2020-03-05 15:45:00,long,8848.25,8674.0,-6976.0,loss,2,-6.0137931034482754
2020-03-06 10:00:00,2020-03-06 15:45:00,long,8455.25,8501.75,1854.0,win,2,1.5982758620689654
2020-03-09 10:15:00,2020-03-09 15:45:00,long,8127.75,7915.0,-8516.0,loss,2,-7.341379310344828
2020-03-12 11:45:00,2020-03-12 15:45:00,long,7594.25,7160.5,-17356.0,loss,2,-14.962068965517242
2020-03-13 11:30:00,2020-03-13 15:45:00,long,7518.25,7823.0,12184.0,win,2,10.50344827586207
2020-03-16 10:00:00,2020-03-16 14:45:00,long,7476.0,6974.591099819763,-20062.35600720947,loss,2,-17.29513448897368
2020-03-17 10:00:00,2020-03-17 15:45:00,long,7357.25,7347.25,-406.0,loss,2,-0.35
2020-03-19 09:30:00,2020-03-19 15:45:00,long,7252.0,7184.75,-2696.0,loss,2,-2.3241379310344827
2020-03-23 11:30:00,2020-03-23 15:45:00,long,7019.5,6978.0,-1666.0,loss,2,-1.436206896551724
2020-03-24 10:00:00,2020-03-24 15:45:00,long,7395.5,7553.25,6304.0,win,2,5.43448275862069
2020-03-25 11:30:00,2020-03-25 15:45:00,long,7613.0,7478.0,-5406.0,loss,2,-4.660344827586207
2020-03-26 10:00:00,2020-03-26 15:45:00,long,7660.0,7861.5,8054.0,win,2,6.9431034482758625
2020-03-27 11:45:00,2020-03-27 15:45:00,long,7651.5,7561.0,-3626.0,loss,2,-3.1258620689655174
2020-03-30 10:00:00,2020-03-30 15:45:00,long,7800.5,7853.25,2104.0,win,2,1.813793103448276
2020-03-31 10:00:00,2020-03-31 15:45:00,long,7945.25,7781.75,-6546.0,loss,2,-5.643103448275862
2020-04-01 10:00:00,2020-04-01 15:45:00,long,7670.75,7463.5,-8296.0,loss,2,-7.151724137931034
2020-04-02 10:00:00,2020-04-02 15:45:00,long,7549.25,7622.0,2904.0,win,2,2.503448275862069
2020-04-06 10:00:00,2020-04-06 15:45:00,long,7869.5,8035.75,6644.0,win,2,5.727586206896552
2020-04-07 11:15:00,2020-04-07 15:45:00,long,8236.0,7998.0,-9526.0,loss,2,-8.212068965517242
2020-04-08 10:00:00,2020-04-08 15:45:00,long,8141.25,8201.75,2414.0,win,2,2.081034482758621
2020-04-09 11:00:00,2020-04-09 15:45:00,long,8252.25,8238.75,-546.0,loss,2,-0.4706896551724138
